,date,id,sentiment_compound,sentiment_neg,sentiment_pos,sentiment_neu,symbol,t-3_perc,t-2_perc,t-1_perc,t0_perc,t1_perc,t2_perc,t3_perc
710,2009-03-04 05:00:00,09-186,0.9721000000000001,0.074,0.115,0.81,ecl,-0.021397105097545666,-0.017363344051447016,0.006871727748691159,-0.021774455638609025,-0.006644518272425293,-0.0016722408026754731,0.03350083752093802
711,2015-01-13 05:00:00,15-036,0.9979,0.042,0.179,0.78,fb,-0.005564438759194101,-0.013120658605608404,-0.003519290928050034,-0.0022236756049706097,-0.02923439958049301,0.015259959486833452,0.014099494546421676
712,2015-01-13 05:00:00,15-036,0.9979,0.042,0.179,0.78,fb,-0.005564438759194101,-0.013120658605608404,-0.003519290928050034,-0.0022236756049706097,-0.02923439958049301,0.015259959486833452,0.014099494546421676
713,2014-02-04 05:00:00,14-119,0.886,0.07100000000000001,0.107,0.8220000000000001,rad,-0.021164021164021163,-0.03963963963963957,0.0018761726078799779,0.02059925093632975,0.02752293577981635,0.017857142857143016,-0.010526315789473717
714,2010-02-04 05:00:00,10-128,0.9977,0.049,0.197,0.754,googl,-0.0035645941990919416,0.018263292664558062,-0.025964276469065517,0.0085652779728842,0.004103220463400614,0.005567323373385724,-0.0037189620460815753
715,2010-02-04 05:00:00,10-128,0.9977,0.049,0.197,0.754,googl,-0.0035645941990919416,0.018263292664558062,-0.025964276469065517,0.0085652779728842,0.004103220463400614,0.005567323373385724,-0.0037189620460815753
716,2009-09-18 04:00:00,09-1001,0.9958,0.033,0.196,0.771,googl,,,,,,,
717,2009-09-18 04:00:00,09-1001,0.9958,0.033,0.196,0.771,googl,,,,,,,
718,2010-10-04 04:00:00,10-1115,0.9985,0.029,0.165,0.806,axp,-0.022785398744477936,-0.005948132286462071,-0.06534226902824325,-0.019718309859154792,-0.006792058516196353,-0.005260389268806009,0.004494976203067269
719,2010-10-04 04:00:00,10-1115,0.9985,0.029,0.165,0.806,ma,0.006153707945919296,0.003482142857142767,-0.009520419966189242,0.014642472152353703,-0.01150951748561313,-0.010927004030452325,0.007833016390473624
720,2010-10-04 04:00:00,10-1115,0.9985,0.029,0.165,0.806,v,-0.002015858083590838,-0.012658227848101444,-0.0010911074740861393,0.023894046968869542,-0.01013468462461653,-0.008352418159773722,0.005298193180274469
721,2010-10-04 04:00:00,10-1115,0.9985,0.029,0.165,0.806,axp,-0.022785398744477936,-0.005948132286462071,-0.06534226902824325,-0.019718309859154792,-0.006792058516196353,-0.005260389268806009,0.004494976203067269
722,2010-10-04 04:00:00,10-1115,0.9985,0.029,0.165,0.806,axp,-0.022785398744477936,-0.005948132286462071,-0.06534226902824325,-0.019718309859154792,-0.006792058516196353,-0.005260389268806009,0.004494976203067269
